id,code,name,parent_id/id,level,is_debt_account,is_general_account,account_type,allowed_compare,chart_template_id/id
chart3382,3382,Kinh phí công đoàn,chart338,2,0,0,liability_payable,1,l10n_vn.vn_template
chart3383,3383,Bảo hiểm xã hội,chart338,2,0,0,liability_payable,1,l10n_vn.vn_template
chart3384,3384,Bảo hiểm y tế,chart338,2,0,0,liability_payable,1,l10n_vn.vn_template
chart3385,3385,Phải trả về cổ phần hóa,chart338,2,0,1,liability_payable,1,l10n_vn.vn_template
chart33851,33851,Phải trả về cổ phần hóa: ngắn hạn,chart3385,3,0,0,liability_payable,1,l10n_vn.vn_template
chart33852,33852,Phải trả về cổ phần hóa: dài hạn,chart3385,3,0,0,liability_payable,1,l10n_vn.vn_template
chart3386,3386,Bảo hiểm thất nghiệp,chart338,2,0,0,liability_payable,1,l10n_vn.vn_template
chart3387,3387,Doanh thu chưa thực hiện,chart338,2,0,1,liability_payable,1,l10n_vn.vn_template
chart33871,33871,Doanh thu chưa thực hiện: ngắn hạn,chart3387,3,0,1,liability_payable,1,l10n_vn.vn_template
chart338711,338711,Doanh thu ngắn hạn nhận trước,chart33871,4,0,0,liability_payable,1,l10n_vn.vn_template
chart338712,338712,Doanh thu ngắn hạn từ chương trình khách hàng truyền thống,chart33871,4,0,0,liability_payable,1,l10n_vn.vn_template
chart338718,338718,Các khoản doanh thu ngắn hạn chưa thực hiện khác,chart33871,4,0,0,liability_payable,1,l10n_vn.vn_template
chart33872,33872,Doanh thu chưa thực hiện: dài hạn,chart3387,3,0,1,liability_payable,1,l10n_vn.vn_template
chart338721,338721,Doanh thu dài hạn nhận trước,chart33872,4,0,0,liability_payable,1,l10n_vn.vn_template
chart338722,338722,Doanh thu dài hạn từ chương trình khách hàng truyền thống,chart33872,4,0,0,liability_payable,1,l10n_vn.vn_template
chart338728,338728,Các khoản doanh thu dài hạn chưa thực hiện khác,chart33872,4,0,0,liability_payable,1,l10n_vn.vn_template
chart3388,3388,"Phải trả, phải nộp khác",chart338,2,1,1,liability_payable,1,l10n_vn.vn_template
chart33881,33881,"Phải trả, phải nộp ngắn hạn khác",chart3388,3,1,1,liability_payable,1,l10n_vn.vn_template
chart338811,338811,"Phải trả, phải nộp khác: HĐ SXKD",chart33881,4,1,0,liability_payable,1,l10n_vn.vn_template
chart338812,338812,"Phải trả, phải nộp ngắn hạn khác: HĐ đầu tư",chart33881,4,1,0,liability_payable,1,l10n_vn.vn_template
chart338813,338813,"Phải trả, phải nộp ngắn hạn khác: HĐ tài chính",chart33881,4,1,0,liability_payable,1,l10n_vn.vn_template
chart33882,33882,"Phải trả, phải nộp dài hạn khác",chart3388,3,1,1,liability_payable,1,l10n_vn.vn_template
chart338821,338821,"Phải trả, phải nộp dài hạn khác: HĐSXKD",chart33882,4,1,0,liability_payable,1,l10n_vn.vn_template
chart338822,338822,"Phải trả, phải nộp dài hạn khác: HĐ đầu tư",chart33882,4,1,0,liability_payable,1,l10n_vn.vn_template
chart338823,338823,"Phải trả, phải nộp dài hạn khác: HĐ tài chính",chart33882,4,1,0,liability_payable,1,l10n_vn.vn_template
chart341,341,Vay và nợ thuê tài chính,,1,0,1,asset_prepayments,,l10n_vn.vn_template
chart3411,3411,Các khoản đi vay,chart341,2,0,1,asset_prepayments,,l10n_vn.vn_template
chart34111,34111,Các khoản đi vay: ngắn hạn,chart3411,3,0,1,asset_prepayments,,l10n_vn.vn_template
chart341111,341111,Các khoản đi vay ngắn hạn: tiền Việt Nam,chart34111,4,0,0,asset_prepayments,,l10n_vn.vn_template
chart341112,341112,Các khoản đi vay ngắn hạn: ngoại tệ,chart34111,4,0,0,asset_prepayments,,l10n_vn.vn_template
chart34112,34112,Các khoản đi vay: dài hạn,chart3411,3,0,1,asset_fixed,,l10n_vn.vn_template
